 # Density of states (DOS)
 # The ouput is normalized to    1.0000000000000000     
 # Energy (eV),   DOS (1/eV)
  -9.9481233788555894        1.4697205230413287E-009
  -9.9474983593237294        1.4698209152238024E-009
  -9.9468733397918676        1.4699213181577727E-009
  -9.9462483202600076        1.4700217318448370E-009
  -9.9456233007281476        1.4701221562865951E-009
  -9.9449982811962876        1.4702225914846439E-009
  -9.9443732616644258        1.4703230374405839E-009
  -9.9437482421325658        1.4704234941560135E-009
  -9.9431232226007058        1.4705239616325334E-009
  -9.9424982030688458        1.4706244398717421E-009
  -9.9418731835369858        1.4707249288752415E-009
  -9.9412481640051258        1.4708254286446316E-009
  -9.9406231444732658        1.4709259391815121E-009
  -9.9399981249414040        1.4710264604874865E-009
  -9.9393731054095440        1.4711269925641545E-009
  -9.9387480858776840        1.4712275354131188E-009
  -9.9381230663458240        1.4713280890359809E-009
  -9.9374980468139622        1.4714286534343442E-009
  -9.9368730272821022        1.4715292286098108E-009
  -9.9362480077502422        1.4716298145639841E-009
  -9.9356229882183822        1.4717304112984666E-009
  -9.9349979686865204        1.4718310188148628E-009
  -9.9343729491546604        1.4719316371147770E-009
  -9.9337479296228004        1.4720322661998126E-009
  -9.9331229100909404        1.4721329060715744E-009
  -9.9324978905590786        1.4722335567316679E-009
  -9.9318728710272204        1.4723342181816982E-009
  -9.9312478514953604        1.4724348904232701E-009
  -9.9306228319634986        1.4725355734579902E-009
  -9.9299978124316386        1.4726362672874644E-009
  -9.9293727928997786        1.4727369719132993E-009
  -9.9287477733679186        1.4728376873371014E-009
  -9.9281227538360568        1.4729384135604780E-009
  -9.9274977343041968        1.4730391505850366E-009
  -9.9268727147723368        1.4731398984123847E-009
  -9.9262476952404768        1.4732406570441305E-009
  -9.9256226757086150        1.4733414264818813E-009
  -9.9249976561767550        1.4734422067272477E-009
  -9.9243726366448950        1.4735429977818376E-009
  -9.9237476171130350        1.4736437996472594E-009
  -9.9231225975811732        1.4737446123251238E-009
  -9.9224975780493132        1.4738454358170407E-009
  -9.9218725585174532        1.4739462701246197E-009
  -9.9212475389855932        1.4740471152494714E-009
  -9.9206225194537332        1.4741479711932068E-009
  -9.9199974999218732        1.4742488379574375E-009
  -9.9193724803900132        1.4743497155437735E-009
